,tags,channelId,channelTitle,categoryId,title,videoId,viewCount,likeCount,dislikeCount,commentCount,favoriteCount
7,"['Health', 'Health tips', ""Editor's picks"", 'Big News', 'Coronavirus', 'Today', 'The TODAY Show', 'TODAY Show', 'NBC', 'NBC News', 'TODAY Show Interview', 'Donna Farizan', 'Al Roker', 'TODAY show news', 'news', 'coronavirus update', 'coronavirus us', 'coronavirus news', 'coronavirus latest news', 'coronavirus symptoms', 'illness', 'center for disease control', 'safety', 'symptoms', 'sickness', 'coronavirus outbreak', 'COVID-19', 'pandemic', 'coronavirus pandemic', 'coronavirus prevention', 'covid-19 news', 'covid-19 updates', 'The latest on today']",UChDKyKQ59fYz3JO2fl0Z6sg,TODAY,25,Over 100 Coronavirus Cases Confirmed In US; More Deaths In Washington State | TODAY,YE6alcjmUfs,601613,6053,664,4088,0
8,"['Nightly News', 'Health', 'Coronavirus', 'NBC Nightly News with Lester Holt', 'nbc news', 'news', 'breaking news', 'us news', 'world news', 'politics', 'current events', 'top stories', 'pop culture', 'business', 'nbc nightly news', 'lester holt', 'nbc news lester holt', 'nbc nightly news episode', 'nbc news full', 'nightly news full', 'COVID-19', 'pandemic', 'outbreak', 'coronavirus pandemic', 'coronavirus outbreak', 'coronavirus prevention', 'coronavirus explained', 'covid-19 news', 'covid-19 updates', 'covid-19 outbreak']",UCeY0bbntWzzVIaj2z3QigXg,NBC News,25,Coronavirus: U.S. Death Toll Rises As More Cases Reported | NBC Nightly News,HBvYBm2wJR0,103437,678,42,468,0
9,"['video', 'cbs', 'news', 'coronavirus', 'death', 'center of disease control', 'united states', 'quarantine']",UCAeWdyKJXGWmVAXFpgLNNTg,CBS Evening News,25,Coronavirus death toll rises in U.S.,PUMxPbOO8rc,172817,3050,171,1615,0
10,"['Nine News Australia', 'Channel 9', 'Nine news', 'channel 9 news', 'Australia News', 'Australian News', 'Sydney News', 'Melbourne News', 'Latest news Australia', 'coronavirus', 'corona virus', 'virus', 'virus in china', 'virus in china 2020', 'christmas island', 'evacuation', 'hubei china', 'wuhan', 'australians evacuated', 'disease', 'outbreak', 'virus outbreak', 'government', 'scott morrison', 'federal government australia']",UCIYLOcEUX6TbBo7HQVF2PKA,Nine News Australia,25,"News Update Newest coronavirus cases, Police smash drug syndicate | Nine News Australia",4rTzoh7zax0,63328,455,44,[],0
11,"['Canada', 'U.S.', 'Hawaii', 'Washington', 'Australia', 'South Korea', 'Bulk Buying', 'Panic Buying', 'COVID-19', 'coronavirus', 'coronavirus outbreak', 'coronavirus quarantine', 'quarantine', 'travel', 'health', 'COVID-19 outbreak', 'COVID-19 spread', 'WHO', 'World Health Organization']",UChLtXXpo4Ge1ReTEboVvTDg,Global News,25,Coronavirus outbreak: Virus concerns lead to empty shelves at grocery stores around the world,yozZDt6o-A0,172193,1457,156,1311,0
12,"['Coronavirus', 'covid-19', 'virus', 'infection', 'crise', 'coronavirus mortel', 'Chine', 'quarantaine', 'isolement', 'communisme', 'pays confiné', 'Chine confinée', 'Pékin', 'contrôle de températures', 'masques', 'villes fantômes', 'confinés par le régime', 'confinement', 'avenir de la chine', 'maladie', 'propagation coronavirus', 'ARTE', 'ARTE Reportage', 'ARTE Replay', 'pénurie de masques']",UCwI-JbGNsojunnHbFAc0M4Q,ARTE,25,Coronavirus : la Chine en quarantaine | ARTE Reportage,OQD_-2KI244,354874,5397,251,1055,0
13,"['bbc', 'bbc news', 'news', 'coronavirus', 'UK', 'laura kuenssberg', 'hugh pym', 'fergus walsh', 'huw edwards', 'boris johnson', 'UK government', 'infections', 'disease', 'virus', 'health', 'army']",UC16niRr50-MSBwiO3YDb3RA,BBC News,25,Coronavirus: UK government says 1 in 5 workers could be off –BBC News,OAijpT8naZk,510356,3952,334,1900,0
14,"['News', 'Republicans', 'National Security', 'Health', 'White House', 'Donald Trump', 'Best of last night', 'Global Health', 'Coronavirus', 'Morning Joe', 'Joe Scarborough', 'Mika Brzezinski', 'Willie Geist', 'MSNBC', 'MSNBC news', 'MSNBC live', 'MSNBC TV', 'breaking news', 'current events', 'US news', 'politics', 'politics news', 'political news', 'elections', 'morning joe full', 'morning joe live', 'morning joe today', 'coronavirus update', 'coronavirus us', 'illness', 'cdc', 'safety', 'symptoms', 'sickness', 'outbreak', 'COVID-19', 'covid-19 news']",UCaXkIU1QidjPwiAYu6GcHjg,MSNBC,25,"Coronavirus Vaccine Is Still 12 Months Away At Least, Doctor Says | Morning Joe | MSNBC",XREBr0Q1-34,255356,1707,202,1487,0
15,"['jimmy', 'kimmel', 'live', 'late', 'night', 'talk', 'show', 'funny', 'comedic', 'comedy', 'clip', 'comedian', 'Monologue', 'Donald Trump', 'Trump', 'Politics', 'Coronavirus', 'Guillermo', 'Super Tuesday', 'I voted', 'Mike Bloomberg', 'Joe Biden', 'Vaccine', 'Virus', 'Jimmy Kimmel Drawings', 'Cartoons', 'Mike Pence', 'Brit Hume']",UCa6vGFO9ty8v5KZJXQxdhaw,Jimmy Kimmel Live,24,Dems Battle it Out &amp; Trump Cures Coronavirus!,DxB9ItqydK0,955824,16160,878,2019,0
16,"['Coronavirus', 'Politics', 'health', 'donald trump']",UC8p1vwvWtl6T73JiExfWs1g,CBS News,25,Trump and Dr. Anthony Fauci speak at NIH on coronavirus,N_TVcutvLbo,89310,578,149,683,0
